School Name,School Id,School Overview,Email,Website,Phone,Fax,Principal,Manager,Address
Avonvale Education Support Centre,6041,"

Avonvale Education Support Centre caters for approximately 24 students from Kindergarten to Year 12. Our specialised facilities are split across two campuses with early intervention and primary school students located at Avonvale Primary School, and secondary students located at Northam Senior High School.

Our whole school planning ensures the quality of our program delivery is comprehensive and current. Our students are provided with individual education plans that cater to their strengths and needs. All our students learn the Western Australian Curriculum (with the necessary adjustments and modifications) which allows them to participate in age-appropriate lessons and activities.

Our special programs include:

*Intensive Early Intervention - For students from Kindergarten to Year 1, this program caters for students with Autism and intellectual disabilities. Students work through individual programs based on Applied Behavioural Analysis techniques such as Discrete Trial Training.

*Therapy Programs - We offer students access to educational based therapy programs. Students have receive fortnightly visits from Occupational and Speech Therapists who work collaboratively with teachers to deliver educational programs that are tailored to the specific needs of the individual students.

Our primary school site has a purpose-built centre with three well-equipped classrooms able to facilitate a wide range of activities from formal skills development to physical education and cooking. It has two purpose-built multi-sensory environments for students with sensory processing disorders. Our secondary site caters for students with both physical and intellectual disabilities. Our secondary school students have access to specialist facilities at Northam Senior High School including the gym, Trade Training Centre and Science department.

We welcome you to contact our school for more information:
T: 9621 5250
E: Avonvale.ESC@education.wa.edu.au
",Avonvale.ESC@education.wa.edu.au,,08 9621 5250,08 9622 2434,Michelle O Brien,Caroline Marriott,"Hutt Street
Northam WA
6401"
Avonvale Primary School,5018,"



At Avonvale Primary School we are committed to providing enriched learning opportunities to meet the needs of all our students from Kindergarten to Year 6.

Our school is innovative and exciting, and is committed to providing high quality educational programs for students that focus on academic excellence and engagement.

Students at Avonvale Primary School are able to explore and develop their understanding and learning across a diverse and exciting range of learning areas. These are designed to encourage success for all of our students whilst never losing focus on our key priority of improving literacy and numeracy.

Avonvale Primary School recognises the need to prepare our students for a rapidly growing and changing world. Digital technologies are integrated into our teaching and learning programs and students are able to access and familiarise themselves with these cutting edge devices and systems across all year levels. This integration enables students to better understand the role of technology within their lives and helps to ready them for new challenges and ideas. The school has an exciting specialist taught science program to support our digital technologies team in delivering a high quality program for our students in these key areas.

Avonvale Primary School has a dedicated and committed staff with a focus on self-improvement and researched based professional learning programs to provide the best outcomes for our students. The school prides itself in the constant review of effective teaching practices to ensure that students are able to participate in educational programs designed to promote successful learning outcomes. All of our staff members work together and are focused on strategies and programs that will best meet the needs of our students.

Avonvale Primary School recognises the need to develop the whole child and our programs are tailored to meet these individual requirements. Our school is steeped in culture and tradition and we embrace these strong connections with culture and the land. We have an outstanding Aboriginal Language and Culture Program (Noongar) providing every student with the opportunity to either reconnect with their culture or to better understand the history of their home. We encourage healthy sporting pursuits and participate in school based and interschool sports including swimming, athletics, cross country, netball, football and basketball.

We look forward to working with you and to providing your child with a well-rounded education that is supportive and nurturing and allows them to reach their full potential.

T: 9622 1489
E: Avonvale.PS@education.wa.edu.au
",Avonvale.PS@education.wa.edu.au,,08 9621 5200,08 9622 3833,Adam Marchant,,"Hutt Street
Northam WA
6401"
Babakin Primary School,5020,"

At Babakin Primary School we make a difference in how students feel, learn and develop so that every student can achieve their personal best, feel happy and build confidence for tackling all life's future challenges. Our school is small, but our ambition for our students is not. We prepare students to take their place in the wider world with confidence and success, guiding their learning from Kindergarten to Year 6 through individual education plans. In addition, we run a 0-4 program called KidzKonnecting at which we welcome young children from the surrounding area to develop their early learning and social skills, accompanied by a parent/caregiver.

We provide students with opportunities to access the Western Australian Curriculum in full, as best meets their age and needs. Literacy and Numeracy are key areas and are prioritised in the morning. Educators work in teams to ensure that all students are supported and extended. Students are taught not just the curriculum subjects, but how to learn, how to study cooperatively and how to think about their learning to make it as powerful as possible. Science and Japanese are taught as specialist subjects. Incursions, excursions and links with technology and the wider world are used to enhance learning and the pleasure of learning.

The school is very well equipped, with a flexible learning area to optimise teaching of Literacy and Numeracy in groups designed to optimise support, cooperation and challenge. Our facilities include a heritage building used for visual and musical creativity and a modern, free-standing building which serves as an inquiry hub for Science, creative STEM projects and Japanese, along with a well-stocked lending library. Our students' learning is supported by technology, with ample and varied devices and structured teaching in their use.

Babakin is approximately 250 km east of Perth. We cater for the largely agricultural area between Corrigin, our nearest town, and Bruce Rock, our shire town. There has been a school at Babakin since 1915 and our centenary was celebrated with pride in 2015. The grounds and buildings are cared for by dedicated staff and engaged students who enjoy using the synthetic oval, hard court, undercover area, gardens and playground. The community's outstanding support, focussed through the P&C and Council, facilitates continual improvement in programs and facilities.

Babakin Primary School is at the heart of its community, yet outward-looking. We value our relationships with neighbouring schools in our Lakes Network and from outside the immediate area, through collegial and professional links. Our school has a Scientist-in-Schools partner at the University of Western Australia to enrich science learning and actively engages with Scitech, CSIRO, the Sustainable Schools network and wheat belt organisations that welcome our students and stimulate their curiosity. In 2018 we initiated an artist-in-residence project creating a triptych painting of our local bushland fauna and in 2019 will further celebrate Babakin's place in the world - its 'natural history' - through studies of the local wildflowers.
",Babakin.ps@education.wa.edu.au,,08 9065 2023,08 9065 2007,Renae Hough,Linda Beurteaux,"Farrar Street
Babakin WA
6428"
Badgingarra Primary School,5021,"

At Badgingarra Primary School, our vision is to provide a challenging, rewarding and exciting learning environment where students are encouraged to develop to their full potential.

Our focus is on providing engaging learning programs that develop students academically, while also focusing on their social and emotional wellbeing and making them feel valued at all times. A partnership founded on strong relationships between students, teachers, parents and the community is the enduring platform upon which our school operates.

Our students are given the opportunity to develop the confidence they need to play an active part in the life of our school, family and community while being successfully prepared to transition to secondary school.

We have a strong focus on literacy and numeracy at Badgingarra Primary School. In addition, our students study Japanese and our well-regarded arts program. These programs allow students to engage in learning experiences where they have the chance to develop and practice new skills and perform for our community at assemblies and end of year presentation evenings.

We have excellent resources and facilities, thanks to the support of our P&C Association, and the community's commitment to education. We have desktop computers, and each student has an iPad, allowing for the integration of digital technologies into the curriculum. Our school is well-resourced with materials to support the delivery of our literacy, numeracy and cross-curricular programs. We also have a well-stocked, automated library.

We also work with nearby schools in providing students with engaging science and environmental projects, sporting events and incursions and excursions.

Badgingarra Primary School, situated approximately 210km north of Perth, was established in 1965. The school is located in a secluded, attractive site 8km from town. Students are transported by bus to the school each day.

We welcome your contact with us if you have any enquiries relating to our school and enrolment with us.

T: 9652 9060
E: Badgingarra.PS@education.wa.edu.au
W: badgingarraps.wa.edu.au
",Badgingarra.PS@education.wa.edu.au,,08 9652 9060,08 9652 9130,Dawn Bartholomeusz,"Nicole Peacock
Sarah Franklin","Mcnamara Road
Badgingarra WA
6521"
Bakers Hill Primary School,5022,"

Bakers Hill Primary School is a Level 4 school located in beautiful rural surroundings just off Great Eastern Highway, approximately 75 kms from Perth. The school grounds provide an attractive setting for the school, comprising of a pleasant mix of undulating land with natural bush and green lawns, native shrubs and shady trees with outdoor settings.

Prior to 1998 the school was housed in the original brick building which contained a small office area, a staffroom and two classrooms. In 1998 the original school building was converted into an Administration area and classroom which housed the library. At this time a new teaching area block was built with five classrooms and a wet area. A covered assembly area was built beside the original school building. Two more permanent buildings were added in 2010 under the Building the Education Revolution program. The new Library and an Art/Science & Music block have added considerable versatility to the school to run specialist programs. The school has converted the Pre-Primary / Kindergarten play area from a traditional playground to a nature play area. The steel play equipment has been replaced with a water course, bridge and grass and sand play spaces. These areas allow the students to use their imagination to create with the found objects that abound in this area. The library is used by the Bakers Hill Out of School Care program and Holiday Care program.

Students study Italian as a second language from Years 1 to 6. Science, Music and Physical Education are taught as specialist subjects in all primary classes. The Bakers Hill Primary School Choir won the primary school choir competition at the Northam Arts Festival in 2016, 2017 and 2018.

The school is well equipped with learning technologies. All teaching areas are fitted with a large touch screen monitor and dedicated computer to enhance student learning.
Over the years the staff has built a strong reputation for its competency, teamwork, cooperation and collaboration. Minimum staff changes have provided the school with stability and enabled the staff members to provide consistency, experience and enthusiasm along with a good understanding of their community. The School Volunteer Program provides mentor support for our students.

The school has earned an excellent reputation as a small, caring community that enjoys strong support from the P&C and School Council.

Bakers Hill Primary School has a strong commitment to philanthropy. In 2019 six students shaved their head to raise funds for the Make a Wish Foundation

The school motto is, 'working together to create a safe and happy community of learners'.






",BakersHill.PS@education.wa.edu.au,,08 9574 1411,08 9574 1275,David Adams,Peta Starcevich,"33 Saint George Street
Bakers Hill WA
6562"
Balcatta Primary School,5023,"

Balcatta Primary School is situated 10km north-west of Perth in the suburb of Balcatta. We cater for students in Kindergarten to Year 6 and and are very proud of our heritage and multicultural population, representing approximately twenty different ethnic groups.

Many of the teaching staff have experience in teaching students of ethnic backgrounds. The school's mission is to develop independent learners by supporting each child to attain their highest academic, social, cultural and physical potential.

Extra support is available to the school for literacy and numeracy development and for non-English speaking students. There are also specially equipped rooms for Mathematics/Science, Art/Craft, and Music/Drama as well as a computer room with teacher support and a purpose-built fully-automated library. The services of a School Psychologist and a School Nurse are available. There is an offsite dental clinic.

A current priority is to continue to develop and enhance our Information Communication Technology area through staff professional development, increased use of Internet facilities with greater access for our students. Other priorities are a focus on Literacy and Numeracy, Values and the Implementation of the Australian Curriculum through the Western Australian Curriculum and Assessment Outline. All learning arrears to be implemented and reported upon by the end of semester one,2018

A capital works program over the last few years has enabled the school to have a purpose-built undercover assembly area, containing a state-of-the-art canteen, sports store room, indoor physical education and assembly area for all its students. Also a new art/craft and music room has been recently built along with a new library. The school grounds have also been fully reticulated, which has enabled the ovals to be maintained in top condition throughout the entire year.

Parental involvement is encouraged in all aspects of school life and school decision-making is enhanced through consultation involving parents and staff, through groups such as the Parents and Citizens' Association and the School Council.

The Balcatta Primary School P&C fundraising activities over the past few years has enabled all classrooms, including the computer, library and music rooms, to have air conditioning installed and the playgrounds have had shade sails installed.

The Balcatta Primary School community is very proud of its heritage and the important role that it has played in this multicultural area of the State over the years. The school will continue to meet the educational, social and emotional needs of our students and our community in this rapidly changing world.




",Balcatta.PS@education.wa.edu.au,http://www.balcattaprimary.wa.edu.au,08 9253 4900,08 9344 3665,Peter Gates,Julie Walker,"387 Main Street
Balcatta WA
6021"
Balcatta Senior High School,4004,"

Balcatta Senior High School is situated in the northern suburbs of Perth. As an Independent Public School, we make decisions at the local level to ensure all our students are successful and to better meet the needs of our school community. We offer students a personalised education and caring environment. Our teachers and support staff know their students and are committed to creating positive, engaging learning experience where students achieve their full potential.

We provide many opportunities and programs for students to develop, enhance and exhibit attitudes and values that allow them to develop into competent, confident and caring young adults who promote a healthy lifestyle in themselves and in others, and who are able to take their place in the community.

Our balanced and stimulating arts curriculum fosters initiative, creativity and achievement in our students. We offer a Gifted and Talented Visual Arts Program, an Approved Specialist Program in Dance, and a Saturday morning Young Masters' Program in the arts for students in Years 5 and 6.

Students in Years 7 to 10 are engaged in the eight learning areas of the Western Australian Curriculum. Years 11 and 12 students are offered a comprehensive range of ATAR, general and foundation courses that equip students for successful entry to university, further training or employment. The school also offers the full range of vocationally oriented programs that enable students to pursue traineeships, apprenticeships and on the job training as well as a wide range of certificate courses. We have an inclusive education support facility that provides resources, literacy and numeracy support, and intervention and individual education programs for students with special needs. Teachers are embedding ICT in their teaching and learning programs.

We work closely with our parents to ensure that all students are cared for, respected and provided with the support and guidance they need at school and for the future. We value and work closely with our local primary schools and community organisations to ensure that our students get a rich and diverse educational experience including debating, sports, interstate and international tours.

Our school has excellent facilities. These include specialist art studios, a well-equipped library, gymnasium, swimming pool, as well as sports facilities for tennis, netball, soccer, basketball, cricket and football, and design and technology enterprise workshops. All our facilities are designed to support the artistic, academic, social and sporting learning and achievement of students. The local community is directly involved with the school through joint management of the recreational facilities of the Moir Centre which is situated on the school campus. The school has a functioning Beauty Clinic which comprises the practical part of Certificate II and III vocational courses for Year 11 and 12 students.

Our School Board plays an important part in supporting the school's continued journey to excellence. Its members include high profile experts from the world of education, the arts and government. They bring a wealth of talent and expertise to the school.
",Balcatta.SHS@education.wa.edu.au,http://www.balcattashs.wa.edu.au,08 9345 8200,08 9349 9118,Helen Maitland,Sharon Beccarelli,"31 Poincaire Street
Balcatta WA
6021"
Baldivis Gardens Primary School,5847,"

Our vision is to nurture students in a safe and supportive learning environment where parents and staff take shared responsibility for student growth and development, resulting in students who thrive and a community that flourishes. Our motto is Nurture Grow Thrive.

Opened in 2017 our newly established Independent Public School caters for students from Kindergarten to Year 6. Our focus is on providing a rich and varied curriculum that develops the whole child, catering for their academic, physical, social and emotional needs.

The school site is situated on land that has a rich history as a market garden, and that is why the name Baldivis Gardens Primary School was chosen by the Planning Committee.

Our staff have been selected to meet the specific needs of this school community. We are dedicated to working alongside the school community to create a clear strategic plan, with clearly articulated goals, strategies and targets.

With strong personable leadership provided by an experienced principal, professional and capable staff, and a parent community committed to sharing the responsibility for their children's education, Baldivis Gardens Primary School will provide 'excellence' in public school education delivering 'high performance with high care'.

Located in the rapidly growing suburb of Baldivis our School features modern state of the art buildings and facilities.

For more information:
Principal: Jayne Ebsworthy
Phone: 9523 7000
Website: https://baldivisgardensps.wa.edu.au/
Email: baldivisgardens.ps@education.wa.edu.au
Facebook: Baldivis Gardens
",BaldivisGardens.PS@education.wa.edu.au,https://baldivisgardensps.wa.edu.au/,08 9523 7000,,Jayne Ebsworthy,Tamra Law,"Nadine Promenade
Baldivis WA
6171"
Baldivis Primary School,5024,"

Baldivis Primary School is a rapidly growing semi-rural residential suburb 46 kilometres south of Perth. Our school has a proud tradition serving the Baldivis community over many decades. We cater for children from Kindergarten to Year 6. Our school motto is 'We Care.' Our highly skilled staff develop a broad range of skills for all children and high standards of academic, social, cultural, physical and emotional achievement are a feature of school life for each child at Baldivis Primary School.

We encourage and strengthen links between children, staff, parents and the community through:
o two way parent/school communication
o community involvement to enrich our education programs
o keeping parents informed about their child's progress
o provide opportunities in shared decision-making.

We prepare all children to be:
o lifelong learners
o able to appreciate different languages
o computer literate
o prepared for complex tasks
o politically, culturally and socially aware.

We have an active P&C that are involved in many aspects of the school environment and are visible in the school on a daily basis. A major fundraising event for the P&C is the annual Baldivis Country Fair. Parents are encouraged to become part of school activities. The Baldivis School Board represents the diversity of the Baldivis Primary school community and is strategic in planning for improvement of outcomes for all students.

We make the most of our unique surrounds, including a school kitchen garden, bushland location and environmental education programs. In partnership with the primary and secondary schools of Baldivis and a range of community groups and organisations, children learn to value the environment, grow in community appreciation and become guardians for the future.

To find out more about our unique school and to enrol your child, please contact us.

T: 9524 1150
E: baldivis.ps@education.wa.edu.au
W: baldivisprimaryschool.com.au
",Baldivis.PS@education.wa.edu.au,http://www.baldivisprimaryschool.com.au,08 9523 5700,,Tom Burke,Kirsten Jackson,"214 Fifty Road
Baldivis WA
6171"
Baldivis Secondary College,4190,"



Baldivis Secondary College, located 46km south of Perth, is a relatively new and vibrant learning community and the first public secondary school established in the area. The college opened in 2013 with a single year group of 220 Year 8 students and 32 staff. In the ensuing years our College population had risen to over 1,800 students and nearly 200 staff, making Baldivis Secondary College one of Western Australia's fastest growing and largest secondary schools.

Students and staff are expected to achieve personal excellence in all they do. We continue to explicitly teach, demonstrate and provide opportunities to practise working together and building a harmonious sense of community. Baldivis Secondary College strives to maintain high expectations and standards of and for every member of our school community and in doing so we look to attain our mission of providing every opportunity for our students and staff to reach their full potential and to be their best.

We believe that all students are entitled to rigorous, relevant and engaging learning programs drawn from a challenging curriculum that addresses their individual learning needs. Our teachers develop teaching and learning programs that build on students' interests, strengths, goals and learning needs, and address the cognitive, affective, physical, social and aesthetic needs of all students.

We are an integral part of the Baldivis community and are constantly looking for ways to enhance our partnerships and links with the local community as well as the wider community.

We have a strong collaborative approach with our partner primary schools of Baldivis, Baldivis Gardens, Makybe Rise, Rivergums, Settlers and Tuart Rise Primary Schools.

Additionally, we have established partnerships and initiatives with Murdoch University, Edith Cowan University, University of Western Australia, Curtin University, Victoria University, Telstra, TAFE WA, local businesses and industry and local community organisations. These partnerships have been instrumental in building the capacity and social capital of students and staff with a clear focus on ensuring that exiting students are well prepared academically, socially and emotionally for life outside the school gate.

We value the essential partnership between students, teachers and parents. Our systems and processes are in place to ensure each person is valued and communicated with in a timely manner. The learning environment for our young people is designed to create a sense of belonging and an enjoyable learning experience. It is founded on the principle of respect. Each initiative and every interaction in our learning community is developed and implemented with the expectation that respect underpins the dialogue and action of each individual.

The college facilities are state of the art and designed to provide the best learning environments for students and staff. New and innovative designs and resources allow for dynamic interaction amongst our community members and established to meet the needs and interests of all.

The partnerships, staffing, resourcing, facilities, curriculum and programs at Baldivis Secondary College are all designed and provided so that each individual will perform to the best of their ability and in doing so attain their level of excellence.

For more information about Baldivis Secondary College, please contact us at:

T: 9523 3600
E: baldivis@education.wa.edu.au
",Baldivis.SC@education.wa.edu.au,http://www.baldivissc.wa.edu.au,08 9523 3600,08 9523 3606,Keith Svendsen,Karen Illich,"Stillwater Drive
Baldivis WA
6171"
Baldivis South Primary School,5862,"

Baldivis South Primary School (planning name) is the latest primary school to be built in the fast growing Baldivis area. It will open in 2021 and will take enrolments for Kindergarten to Year 6 students.

At Baldivis South Primary School (planning name), we will focus on developing the whole child. We will help them learn important skills, such as resilience and confidence, to help them grow both academically and personally. We will also share our passion for learning so they enjoy school, want to learn and are encouraged to become lifelong learners.

Our school will become the 'hub' of the community and reflect the values and aspirations of our community members. Our community will participate in shaping our school and its culture.

The school will comprise of:

* an administration block
* a library resource centre which contains the staff room
* an early childhood block
* three learning blocks, one of which has an Art/Science room
* a covered assembly area, canteen and a music room
* a multi-purpose playing court, junior football oval and cricket practise nets.

To discover more about Baldivis Primary School (planning name), please contact the Principal Sue Heath on:

T: 9553 0740 (c/- Ridge View Secondary College)
E: BaldivisSouth.PS@education.wa.edu.au
f: facebook.com/Baldivis-South-Primary-School-planning-name-107667667627031/
",BaldivisSouth.PS@education.wa.edu.au,,,,Suzanne Heath,,"Nairn Drive
Baldivis WA
6171"
Baler Primary School,5580,"

At Baler Primary School we value, celebrate and learn from our multicultural diversity by fostering positive relationships through engaging students, parents, staff and the wider community. We are an independent public school catering for children in Kindergarten to Year 6. Our school community is diverse, with representation from over thirty-four different cultures. Our school motto, 'a sea of cultures', captures and celebrates our inclusive and culturally respectful approaches to our teaching and learning practices and community interactions. Our school is located in the Pilbara, and is the largest of the four primary schools in the Hedland area.

We offer programs in visual arts, physical education, science, music and Indonesian. We also have a highly valued academic enrichment program for children needing a bit more of a challenge. We enjoy a high profile in the community, with dedicated, supportive and enthusiastic staff. Our committed teachers provide education across a range of programs, catering to individual differences through an inclusive and differentiated approach. Our programs are catered to children from a variety of backgrounds and learning needs, including those with special needs or at educational risk.

In partnership with our community we strive to develop lifelong, independent learners who have respect for themselves and others. Literacy, numeracy and science, together with a strong pastoral care program, are the foundations for achieving the potential of every child. The positive culture and welcoming nature is palpable within our school, making it a school of choice in the area. We are driven by our passion for wellbeing and a successful education for all by promoting an inclusive friendly environment, and a sense of belonging.

We implement an individualised whole-school framework based on improving student academic and behaviour outcomes and ensuring that all students have access to the most effective and accurately implemented instructional and behavioural practices and interventions possible. Our approach is evidence-based behaviour interventions and practices that are implemented by staff to effectively address and support the social, educational and behavioural needs of students and their families.

We have an agreed set of values, a school vision and a school-wide teaching methodology. The combination of these three components provide the school community with both direction and structure necessary to provide our students with the knowledge, understanding and skills to become lifelong learners and thrive in an ever changing world.

We provide a safe, creative and challenging learning environment within a multicultural setting. We are driven by our passion for wellbeing and a successful education for all.

Discover more about Baler Primary School:

T: 9172 8400
E: Baler.PS@education.wa.edu.au
W: balerps.wa.edu.au
",Baler.PS@education.wa.edu.au,http://www.balerps.wa.edu.au,08 9172 8400,,Karen Burgess,,"Baler Close
South Hedland WA
6722"
Balga Primary School,5025,"



Balga Primary School, is an Independent Public School that prides itself on working closely with parents and the community to provide a high quality education for our children to prepare them for opportunities that lie ahead.

We believe in developing the whole child and helping children to identify their strengths and interests so that they can achieve their dreams. Our vision is to strive to create a safe and supportive learning environment where all members of the school community are welcomed, respected and valued and where students develop the necessary skills, knowledge and confidence to become successful citizens.

We are proud of the rich diversity of cultures represented in our school community and ensure that the learning needs of each child are catered for. Committed, experienced and supportive staff have a focus on child engagement and wellbeing and identify and apply teaching strategies so all children can achieve their best.

We provide a strong foundation in literacy and numeracy, and staff work together to streamline children's learning with carefully planned progressive learning programs. The use of computers and iPads in the classrooms gives children the advantage of being familiar with state of the art technology.

Specialist teachers in science, physical education and music provide children with educational experiences that develop their individual passions and talents in their areas of interest.

Through the whole school use of the Friendly Schools Plus program and our school-developed values program, we support students to develop excellent interpersonal and self-management skills which contribute to maintaining our safe, caring school environment.

Our long-standing partnership with the 12 Buckets mentoring program helps children discover their talents and develop to their potential.

As an Independent Public School, Balga Primary School values parent and community involvement and has an active Parents and Citizens Association and School Board.

Visit our website at http://balgaps.wa.edu.au/


",Balga.PS@education.wa.edu.au,,08 9253 4500,08 9345 3725,Michael Wills,Tegan Gill,"11 Fernhurst Crescent
Balga WA
6061"
Balga Senior High School,4050,"

Balga SHS (yr7-12) is a unique program based school, specialising in literacy, numeracy, vocational training and lifelong learning for students at educational risk.
Situated 20kms north of Perth with 500 students from over 60 nationalities, it has experienced, trained staff emphasising Pastoral Care.

Special programs: Soccer, Police Rangers, ESL Transition and Workplace Learning with studies in Drama, Arts, Dance, Home Economics, trade skills and Outdoor Education.

Facilities: Gym, music/dance studio, ovals, theatre arts, restaurant, workshop, onsite Child Care. School programs include:
Northern Suburbs Intensive English Centre, ESL language program with Transition to mainstream -
Swan Nyungar Sports Education Program,Indigenous AFL/netball, culture based
Education Support Program, Learning support, life skills
Swan Youth Program, Life skills for students at risk
Mainstream, Core and elective subjects, ESL support
Senior School, Vocational based Courses of Study, TAFE/university/ employment access
Young Parents,School access support program, on-site child care
",Balga.SHS@education.wa.edu.au,http://www.balgashs.wa.edu.au,08 9247 0222,08 9342 0944,Mark Carton,"Sonia Dunstan
Laurel Woods","2 Markham Way
Balga WA
6061"
Balingup Primary School,5027,"

Balingup Primary School is more than just a little school in the middle of the country.

We aspire to create a rich learning space that harnesses student interests in a safe yet challenging environment. We teach our students to dream big and encourage our students to 'have a go' and let them know that we all make mistakes but, it is what we do after the mistake that makes all the difference. We teach students resilience and how to be a good friend.

We are a community that collaborates together to achieve shared goals. We currently have 44 students, small classroom sizes and the ability to cater for your child as an individual.

Balingup Primary is a passionate school community and our students are at the forefront of everything that we do including, every program that we implement, every decision that we make and every professional learning that we attend, benefit our students.

Our classrooms are all multi-year level classes, consisting of:

Our Kindergarten/Pre-primary class has two highly trained Early Childhood Education teachers, including a senior teacher and a highly skilled education assistant.

Our Year 1/2/3 class has a young and vibrant teacher who has on top of her Primary Education degree; a Bachelor of Science (marine biology and zoology) degree and is currently studying to complete her Graduate Certificate in Early Childhood Education. This class also has a highly skilled education assistant.
Our Year 4/5/6 class has a nurturing and knowledgeable senior teacher and a highly skilled special needs trained education assistant.

Our staff provide a wonderful diversity and combined knowledge and experience of our staff is valued as an opportunity for continual growth. Within these mixed year-leveled classrooms, our students have the ability to both consolidate and extend their learning.

Our classrooms are equipped with the latest iPads, apple TVs, printers and laptop wireless technologies.

We encompass student initiated play, teacher initiated play based learning as well as explicit instructional teaching strategies. Our teachers plan, teach, monitor and assess students using the West Australian Curriculum. We encompass the Early Years Learning Framework, Kindergarten Guidelines, National Quality Standards Framework, and Aboriginal Cultural Standards Framework. We program for each child at their own level of learning and challenge each child to achieve their best. We pride ourselves on our ability to nurture each child as the individual they are.

We use evidence based teaching strategies and have a strong strategic focus on the improvement of student outcomes in literacy and numeracy. There is a high expectation that students will try their hardest and set goals to continue their own personal growth. We encourage a growth mindset and teach students that their learning is not 'fixed'.

At Balingup Primary School we provide a comprehensive curriculum program. Other programs are available in the school to enrich student learning.

These include:
* Student run sustainable garden complete with chickens, worms, vegetable patch and fruit trees
* Active Afterschool Sports Program
* Breakfast Club
* School Chaplain
* AUSLAN friendly school where all students learn Key Sign
* Volunteer and Mentor Program
*Specialist Art Teacher
*Strong Community Ties - Small Farm Field Day, Medieval Carnivale, Telling Tales in Balingup, CWA, Balingup Community Garden
*Junior Primary Choir
*Private Guitar Tuition
*Onsite Day-care including before, after school, weekend and holiday care
*Collaborative time for teaching staff to implement and reflect on whole school practice.

We have a high expectation of appropriate behaviour at Balingup Primary School and we reward the positive behaviours within the school as supported by policies focusing on attendance and behaviour management.

At Balingup Primary School we recognise the importance of having strong partnerships between students, parents and staff and we welcome all families into our community.

Come for a tour of our school and see the benefits that await your child.

For more information phone (08) 9764 1093
",Balingup.PS@education.wa.edu.au,http://balingupprimaryschool.wa.edu.au/,08 9764 1093,,Nicole Corcoran,Susan Holden,"Cnr Brockman And Steere Sts
Balingup WA
6253"
Ballajura Community College,4158,"

Ballajura Community College (BCC) is one of the largest providers of the Western Australian Certificate of Education (WACE) courses in the North East Metropolitan Region. Our College provides a high quality educational experience for all students and has remained committed to providing a range of flexible programs catering for all student interests, needs and abilities.

Our College's flexibility in curriculum provision, our vibrant engaging environment, and our focus on learning and teaching, provides our students with the opportunity to achieve excellent educational outcomes and the skills to move into further education and training or directly into the workplace.

A Department of Education endorsed specialist program for Advanced Curriculum Enrichment (ACE) operates through Years 7 to 10, promoting higher level thinking skills and academic achievement in Mathematics, English, Science and Humanities and Social Sciences (HASS). This provides a solid foundation for students entering our highly successful university pathway.

As a Registered Training Organisation (RTO), the College provides a range of certificate courses for students that complement their WACE courses of study. Demand for these courses continues to grow with many students completing a Vocational Education and Training (VET) Certification qualification as part of their WACE. We also provide an alternative program pathway, ACCESS, which has demonstrated outstanding success in engaging young people in education.

The Education Support program also provides opportunities, activities and facilities for students with special needs to master skills that will make them successful members of society. As an Independent Public School (IPS) we recognise that progress towards targets concerning attainment, retention, attendance, WACE and VET outcomes will continually need to be met and, wherever possible, exceeded.

Ballajura Community College is culturally diverse with more than fifty nationalities found within the whole learning community. It is an accredited International Fee Paying School. This diversity adds to the richness and the quality of the educational experience for all students. Our College provides an extra-curricular program with strong sporting, cultural, artistic, public speaking, service and leadership opportunities that continues to flourish and complement the more formal learning experienced by our students.

The College is also a Positive Behaviour Support (PBS) school and our core values of Respect, Equity, Achievement, Health and Care (REACH) underpin our mission - 'to create a vibrant learning community where excellence in learning and teaching is expected and celebrated where our College community feels valued and affirmed.'
",Ballajura.CC@education.wa.edu.au,http://bcc.wa.edu.au/,08 9262 7777,08 9249 8067,Leigh Cottrill,Rebecca Treloar-Cook,"Illawarra Crescent South
Ballajura WA
6066"
Ballajura Primary School,5702,"



At Ballajura Primary School, we are dedicated to ensuring every child achieves their social, emotional and academic potential. Our motto - inspire, participate, learn and succeed encapsulates our desire to realise your child's passions and dreams.

Ballajura Primary School is one of five Western Australian Government schools included in the prestigious Centre of Excellence partnering with Curtin University in the study of exemplary literacy teaching and the training of teachers in its delivery.

We have high expectations of ourselves and believe every child matters every day, evidenced by our outstanding NAPLAN results. Alongside academic performance, we focus on the social capacities and emotional resilience of our students.

As professional educators, our responsibilities have always extended beyond maximising the academic outcomes for our students. We recognise there is a strong human side to teaching core values including relationships, engagement and respect.

We strive to create a culture in which every student feels a sense of belonging to the school and understood as an individual. We establish clear expectations for ourselves and create the conditions that enable students to perform - whatever their ability - whatever their personal circumstances - whatever their background.

Together, we can make dreams come true!

For more information visit: https://www.ballajuraps.wa.edu.au/
",Ballajura.PS@education.wa.edu.au,http://www.ballajuraps.wa.edu.au,08 9338 2200,,David Wanstall,Stephanie Young,"Illawarra Crescent South
Ballajura WA
6066"
